Frame,Sim_Time,Active_Watts,Base100_Watts,Base70_Watts,Savings_vs_100,Savings_vs_70
930,20.67,380.0,400.0,280.0,5.0,-35.7
933,20.73,380.0,400.0,280.0,5.0,-35.7
936,20.8,380.0,400.0,280.0,5.0,-35.7
939,20.87,380.0,400.0,280.0,5.0,-35.7
942,20.93,380.0,400.0,280.0,5.0,-35.7
945,21.0,380.0,400.0,280.0,5.0,-35.7
948,21.07,380.0,400.0,280.0,5.0,-35.7
951,21.13,380.0,400.0,280.0,5.0,-35.7
954,21.2,380.0,400.0,280.0,5.0,-35.7
957,21.27,380.0,400.0,280.0,5.0,-35.7
960,21.33,380.5,400.0,280.0,4.9,-35.9
963,21.4,381.0,400.0,280.0,4.8,-36.1
966,21.47,381.0,400.0,280.0,4.8,-36.1
969,21.53,381.0,400.0,280.0,4.8,-36.1
972,21.6,381.0,400.0,280.0,4.8,-36.1
975,21.67,381.0,400.0,280.0,4.8,-36.1
978,21.73,381.0,400.0,280.0,4.8,-36.1
981,21.8,381.0,400.0,280.0,4.8,-36.1
984,21.87,381.0,400.0,280.0,4.8,-36.1
987,21.93,381.0,400.0,280.0,4.8,-36.1
990,22.0,381.0,400.0,280.0,4.8,-36.1
993,22.07,381.0,400.0,280.0,4.8,-36.1
996,22.13,381.0,400.0,280.0,4.8,-36.1
999,22.2,381.0,400.0,280.0,4.8,-36.1
1002,22.27,381.0,400.0,280.0,4.8,-36.1
1005,22.33,381.0,400.0,280.0,4.8,-36.1
1008,22.4,381.0,400.0,280.0,4.8,-36.1
1011,22.47,381.0,400.0,280.0,4.8,-36.1
1014,22.53,381.0,400.0,280.0,4.8,-36.1
1017,22.6,381.0,400.0,280.0,4.8,-36.1
1020,22.67,381.0,400.0,280.0,4.8,-36.1
1023,22.73,381.0,400.0,280.0,4.8,-36.1
1026,22.8,381.0,400.0,280.0,4.8,-36.1
1029,22.87,381.0,400.0,280.0,4.8,-36.1
1032,22.93,381.0,400.0,280.0,4.8,-36.1
1035,23.0,381.0,400.0,280.0,4.8,-36.1
1038,23.07,381.0,400.0,280.0,4.8,-36.1
1041,23.13,381.0,400.0,280.0,4.8,-36.1
1044,23.2,381.0,400.0,280.0,4.8,-36.1
1047,23.27,381.0,400.0,280.0,4.8,-36.1
1050,23.33,381.0,400.0,280.0,4.8,-36.1
1053,23.4,381.0,400.0,280.0,4.8,-36.1
1056,23.47,381.0,400.0,280.0,4.8,-36.1
1059,23.53,381.0,400.0,280.0,4.8,-36.1
1062,23.6,381.0,400.0,280.0,4.8,-36.1
1065,23.67,381.0,400.0,280.0,4.8,-36.1
1068,23.73,381.0,400.0,280.0,4.8,-36.1
1071,23.8,381.0,400.0,280.0,4.8,-36.1
1074,23.87,381.0,400.0,280.0,4.8,-36.1
1077,23.93,381.0,400.0,280.0,4.8,-36.1
1080,24.0,381.0,400.0,280.0,4.8,-36.1
1083,24.07,381.0,400.0,280.0,4.8,-36.1
1086,24.13,381.0,400.0,280.0,4.8,-36.1
1089,24.2,381.0,400.0,280.0,4.8,-36.1
1092,24.27,381.0,400.0,280.0,4.8,-36.1
1095,24.33,381.0,400.0,280.0,4.8,-36.1
1098,24.4,380.5,400.0,280.0,4.9,-35.9
1101,24.47,380.0,400.0,280.0,5.0,-35.7
1104,24.53,380.0,400.0,280.0,5.0,-35.7
1107,24.6,380.0,400.0,280.0,5.0,-35.7
1110,24.67,379.5,400.0,280.0,5.1,-35.5
1113,24.73,379.5,400.0,280.0,5.1,-35.5
1116,24.8,379.5,400.0,280.0,5.1,-35.5
1119,24.87,379.5,400.0,280.0,5.1,-35.5
1122,24.93,379.5,400.0,280.0,5.1,-35.5
1125,25.0,379.5,400.0,280.0,5.1,-35.5
1128,25.07,379.5,400.0,280.0,5.1,-35.5
1131,25.13,379.5,400.0,280.0,5.1,-35.5
1134,25.2,379.5,400.0,280.0,5.1,-35.5
1137,25.27,379.5,400.0,280.0,5.1,-35.5
1140,25.33,379.5,400.0,280.0,5.1,-35.5
1143,25.4,379.5,400.0,280.0,5.1,-35.5
1146,25.47,379.5,400.0,280.0,5.1,-35.5
1149,25.53,379.5,400.0,280.0,5.1,-35.5
1152,25.6,379.5,400.0,280.0,5.1,-35.5
1155,25.67,379.5,400.0,280.0,5.1,-35.5
1158,25.73,379.5,400.0,280.0,5.1,-35.5
1161,25.8,379.0,400.0,280.0,5.2,-35.4
1164,25.87,379.0,400.0,280.0,5.2,-35.4
1167,25.93,379.0,400.0,280.0,5.2,-35.4
1170,26.0,379.0,400.0,280.0,5.2,-35.4
1173,26.07,379.0,400.0,280.0,5.2,-35.4
1176,26.13,379.0,400.0,280.0,5.2,-35.4
1179,26.2,379.0,400.0,280.0,5.2,-35.4
1182,26.27,379.0,400.0,280.0,5.2,-35.4
1185,26.33,379.0,400.0,280.0,5.2,-35.4
1188,26.4,379.0,400.0,280.0,5.2,-35.4
1191,26.47,379.5,400.0,280.0,5.1,-35.5
1194,26.53,380.0,400.0,280.0,5.0,-35.7
1197,26.6,380.0,400.0,280.0,5.0,-35.7
1200,26.67,380.0,400.0,280.0,5.0,-35.7
1203,26.73,380.0,400.0,280.0,5.0,-35.7
1206,26.8,380.0,400.0,280.0,5.0,-35.7
1209,26.87,380.0,400.0,280.0,5.0,-35.7
1212,26.93,380.0,400.0,280.0,5.0,-35.7
1215,27.0,380.0,400.0,280.0,5.0,-35.7
1218,27.07,380.0,400.0,280.0,5.0,-35.7
1221,27.13,380.0,400.0,280.0,5.0,-35.7
1224,27.2,380.0,400.0,280.0,5.0,-35.7
1227,27.27,380.0,400.0,280.0,5.0,-35.7
1230,27.33,380.0,400.0,280.0,5.0,-35.7
1233,27.4,380.0,400.0,280.0,5.0,-35.7
1236,27.47,380.0,400.0,280.0,5.0,-35.7
1239,27.53,380.0,400.0,280.0,5.0,-35.7
1242,27.6,380.0,400.0,280.0,5.0,-35.7
1245,27.67,380.0,400.0,280.0,5.0,-35.7
1248,27.73,380.0,400.0,280.0,5.0,-35.7
1251,27.8,380.0,400.0,280.0,5.0,-35.7
1254,27.87,380.0,400.0,280.0,5.0,-35.7
1257,27.93,380.0,400.0,280.0,5.0,-35.7
1260,28.0,380.0,400.0,280.0,5.0,-35.7
1263,28.07,380.0,400.0,280.0,5.0,-35.7
1266,28.13,380.0,400.0,280.0,5.0,-35.7
1269,28.2,380.0,400.0,280.0,5.0,-35.7
1272,28.27,380.0,400.0,280.0,5.0,-35.7
1275,28.33,382.0,400.0,280.0,4.5,-36.4
1278,28.4,384.0,400.0,280.0,4.0,-37.1
1281,28.47,386.0,400.0,280.0,3.5,-37.9
1284,28.53,387.5,400.0,280.0,3.1,-38.4
1287,28.6,389.0,400.0,280.0,2.8,-38.9
1290,28.67,389.0,400.0,280.0,2.8,-38.9
1293,28.73,389.0,400.0,280.0,2.8,-38.9
1296,28.8,389.0,400.0,280.0,2.8,-38.9
1299,28.87,389.0,400.0,280.0,2.8,-38.9
1302,28.93,389.0,400.0,280.0,2.8,-38.9
1305,29.0,389.0,400.0,280.0,2.8,-38.9
1308,29.07,389.0,400.0,280.0,2.8,-38.9
1311,29.13,389.0,400.0,280.0,2.8,-38.9
1314,29.2,389.0,400.0,280.0,2.8,-38.9
1317,29.27,389.0,400.0,280.0,2.8,-38.9
1320,29.33,389.0,400.0,280.0,2.8,-38.9
